n_estimators,max depth,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Avg F1 Score,Avg Accuracy
100,25,0.798,0.798,0.868,0.781,0.798,0.868,0.798,0.781,0.798,0.868,0.816,0.866
100,26,0.868,0.798,0.781,0.798,0.798,0.868,0.868,0.798,0.798,0.842,0.822,0.869
100,27,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.817,0.798,0.798,0.807,0.862
100,28,0.798,0.798,0.842,0.868,0.868,0.798,0.798,0.798,0.798,0.798,0.817,0.869
100,29,0.868,0.798,0.817,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.807,0.862
100,30,0.798,0.798,0.798,0.921,0.868,0.798,0.842,0.798,0.868,0.798,0.829,0.876
100,31,0.868,0.781,0.868,0.868,0.798,0.798,0.842,0.798,0.798,0.798,0.822,0.869
100,32,0.798,0.868,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.868,0.819,0.872
100,33,0.842,0.798,0.798,0.798,0.798,0.798,0.793,0.798,0.868,0.798,0.809,0.859
100,34,0.868,0.798,0.868,0.798,0.798,0.868,0.798,0.868,0.798,0.798,0.826,0.876
100,35,0.798,0.798,0.798,0.798,0.842,0.798,0.798,0.798,0.868,0.798,0.81,0.866
105,25,0.868,0.921,0.798,0.798,0.868,0.798,0.798,0.868,0.798,0.798,0.832,0.879
105,26,0.868,0.798,0.798,0.798,0.798,0.868,0.798,0.781,0.798,0.798,0.811,0.866
105,27,0.798,0.798,0.868,0.781,0.798,0.798,0.868,0.798,0.798,0.868,0.818,0.869
105,28,0.868,0.798,0.798,0.798,0.798,0.798,0.89,0.798,0.842,0.798,0.819,0.869
105,29,0.798,0.798,0.868,0.868,0.798,0.798,0.817,0.798,0.921,0.798,0.826,0.872
105,30,0.798,0.868,0.798,0.798,0.817,0.798,0.798,0.798,0.868,0.798,0.814,0.866
105,31,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.781,0.811,0.866
105,32,0.798,0.798,0.781,0.798,0.798,0.868,0.798,0.763,0.763,0.798,0.796,0.848
105,33,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.868,0.798,0.798,0.812,0.869
105,34,0.868,0.798,0.798,0.798,0.798,0.798,0.763,0.798,0.763,0.868,0.805,0.855
105,35,0.798,0.798,0.798,0.868,0.868,0.798,0.798,0.798,0.798,0.798,0.812,0.869
110,25,0.798,0.921,0.868,0.798,0.798,0.868,0.868,0.798,0.798,0.798,0.832,0.879
110,26,0.921,0.868,0.868,0.798,0.798,0.868,0.798,0.868,0.744,0.868,0.84,0.876
110,27,0.817,0.798,0.798,0.798,0.798,0.868,0.798,0.868,0.798,0.798,0.814,0.866
110,28,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.805,0.866
110,29,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
110,30,0.798,0.798,0.798,0.868,0.798,0.868,0.868,0.798,0.798,0.781,0.818,0.869
110,31,0.798,0.798,0.798,0.868,0.868,0.798,0.868,0.868,0.868,0.842,0.838,0.879
110,32,0.798,0.868,0.798,0.798,0.868,0.798,0.868,0.798,0.798,0.842,0.824,0.872
110,33,0.781,0.781,0.868,0.798,0.868,0.798,0.798,0.868,0.798,0.798,0.816,0.866
110,34,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.744,0.868,0.781,0.805,0.855
110,35,0.798,0.798,0.798,0.798,0.817,0.798,0.798,0.868,0.842,0.798,0.811,0.862
115,25,0.781,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.868,0.798,0.811,0.866
115,26,0.781,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.798,0.803,0.862
115,27,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.868,0.798,0.812,0.869
115,28,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.798,0.805,0.866
115,29,0.798,0.798,0.798,0.798,0.798,0.781,0.798,0.798,0.798,0.798,0.796,0.859
115,30,0.842,0.868,0.798,0.798,0.798,0.798,0.868,0.798,0.868,0.798,0.824,0.872
115,31,0.763,0.798,0.798,0.798,0.798,0.781,0.798,0.798,0.798,0.781,0.791,0.848
115,32,0.798,0.868,0.868,0.798,0.781,0.798,0.798,0.798,0.798,0.798,0.811,0.866
115,33,0.842,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.842,0.781,0.805,0.859
115,34,0.842,0.798,0.868,0.868,0.798,0.798,0.868,0.798,0.868,0.868,0.838,0.879
115,35,0.798,0.798,0.798,0.798,0.868,0.781,0.798,0.798,0.798,0.781,0.802,0.859
120,25,0.798,0.798,0.868,0.798,0.798,0.868,0.798,0.868,0.868,0.798,0.826,0.876
120,26,0.798,0.798,0.868,0.781,0.798,0.798,0.868,0.868,0.868,0.798,0.825,0.872
120,27,0.763,0.868,0.868,0.798,0.798,0.781,0.798,0.798,0.868,0.798,0.814,0.862
120,28,0.798,0.798,0.817,0.798,0.763,0.798,0.842,0.921,0.798,0.868,0.82,0.862
120,29,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.781,0.798,0.803,0.862
120,30,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.77,0.802,0.855
120,31,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.868,0.868,0.781,0.818,0.869
120,32,0.868,0.798,0.77,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.809,0.859
120,33,0.798,0.798,0.868,0.798,0.798,0.868,0.798,0.798,0.763,0.798,0.809,0.862
120,34,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.805,0.866
120,35,0.868,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.812,0.869
125,25,0.798,0.868,0.798,0.798,0.868,0.798,0.798,0.781,0.798,0.868,0.818,0.869
125,26,0.868,0.868,0.798,0.798,0.868,0.798,0.798,0.868,0.798,0.798,0.826,0.876
125,27,0.868,0.781,0.781,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.809,0.862
125,28,0.798,0.842,0.798,0.781,0.798,0.868,0.798,0.868,0.781,0.798,0.813,0.862
125,29,0.868,0.781,0.798,0.868,0.798,0.868,0.798,0.798,0.798,0.868,0.825,0.872
125,30,0.868,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.868,0.819,0.872
125,31,0.798,0.868,0.798,0.798,0.763,0.798,0.798,0.798,0.798,0.868,0.809,0.862
125,32,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.805,0.866
125,33,0.798,0.798,0.781,0.798,0.798,0.798,0.798,0.798,0.798,0.842,0.801,0.859
125,34,0.798,0.868,0.798,0.798,0.781,0.798,0.798,0.798,0.798,0.798,0.803,0.862
125,35,0.868,0.868,0.798,0.798,0.798,0.798,0.763,0.798,0.798,0.798,0.809,0.862
130,25,0.77,0.798,0.921,0.798,0.798,0.868,0.798,0.868,0.781,0.798,0.82,0.862
130,26,0.868,0.868,0.868,0.868,0.798,0.798,0.798,0.798,0.763,0.798,0.823,0.869
130,27,0.868,0.798,0.868,0.868,0.921,0.868,0.798,0.798,0.798,0.798,0.839,0.883
130,28,0.798,0.798,0.798,0.781,0.798,0.868,0.921,0.868,0.868,0.868,0.837,0.879
130,29,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.842,0.81,0.866
130,30,0.842,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.781,0.781,0.806,0.859
130,31,0.868,0.868,0.798,0.798,0.798,0.798,0.798,0.763,0.798,0.798,0.809,0.862
130,32,0.798,0.798,0.798,0.763,0.798,0.868,0.868,0.798,0.798,0.798,0.809,0.862
130,33,0.868,0.868,0.798,0.798,0.798,0.798,0.798,0.781,0.798,0.798,0.811,0.866
130,34,0.798,0.798,0.868,0.798,0.798,0.781,0.798,0.798,0.798,0.868,0.811,0.866
130,35,0.798,0.868,0.798,0.868,0.798,0.798,0.798,0.798,0.868,0.798,0.819,0.872
135,25,0.798,0.868,0.798,0.868,0.798,0.798,0.798,0.781,0.798,0.798,0.811,0.866
135,26,0.842,0.798,0.798,0.89,0.868,0.842,0.798,0.798,0.798,0.798,0.823,0.869
135,27,0.798,0.798,0.798,0.798,0.781,0.798,0.921,0.798,0.781,0.868,0.814,0.866
135,28,0.798,0.798,0.798,0.842,0.798,0.798,0.798,0.868,0.798,0.781,0.808,0.862
135,29,0.868,0.798,0.798,0.868,0.868,0.868,0.798,0.798,0.798,0.798,0.826,0.876
135,30,0.868,0.798,0.798,0.763,0.798,0.798,0.798,0.798,0.868,0.798,0.809,0.862
135,31,0.781,0.763,0.798,0.781,0.798,0.921,0.798,0.781,0.921,0.868,0.821,0.862
135,32,0.798,0.781,0.798,0.798,0.842,0.798,0.868,0.798,0.798,0.868,0.815,0.866
135,33,0.868,0.842,0.798,0.781,0.868,0.781,0.868,0.798,0.798,0.798,0.82,0.866
135,34,0.781,0.763,0.798,0.868,0.798,0.798,0.798,0.798,0.868,0.744,0.802,0.848
135,35,0.798,0.781,0.868,0.798,0.781,0.798,0.798,0.868,0.798,0.798,0.809,0.862
140,25,0.868,0.798,0.842,0.798,0.763,0.842,0.798,0.798,0.868,0.798,0.817,0.862
140,26,0.798,0.798,0.868,0.798,0.868,0.798,0.868,0.798,0.781,0.868,0.825,0.872
140,27,0.798,0.868,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.812,0.869
140,28,0.868,0.868,0.868,0.868,0.842,0.798,0.798,0.798,0.798,0.89,0.84,0.879
140,29,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.868,0.812,0.869
140,30,0.781,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.803,0.862
140,31,0.798,0.868,0.781,0.798,0.868,0.798,0.868,0.868,0.868,0.868,0.839,0.879
140,32,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.805,0.866
140,33,0.798,0.798,0.817,0.868,0.798,0.798,0.868,0.798,0.798,0.798,0.814,0.866
140,34,0.798,0.868,0.798,0.798,0.868,0.781,0.798,0.798,0.781,0.868,0.816,0.866
140,35,0.868,0.798,0.798,0.798,0.868,0.798,0.868,0.798,0.868,0.868,0.833,0.879
145,25,0.781,0.798,0.798,0.798,0.868,0.842,0.798,0.798,0.868,0.798,0.815,0.866
145,26,0.868,0.798,0.744,0.817,0.798,0.868,0.868,0.798,0.763,0.868,0.819,0.855
145,27,0.798,0.868,0.868,0.798,0.798,0.798,0.798,0.868,0.868,0.798,0.826,0.876
145,28,0.868,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.868,0.798,0.819,0.872
145,29,0.798,0.798,0.868,0.798,0.763,0.798,0.798,0.798,0.868,0.798,0.809,0.862
145,30,0.868,0.781,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.811,0.866
145,31,0.868,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.812,0.869
145,32,0.798,0.798,0.921,0.798,0.798,0.798,0.798,0.781,0.842,0.798,0.813,0.866
145,33,0.798,0.798,0.798,0.868,0.781,0.798,0.781,0.798,0.798,0.798,0.802,0.859
145,34,0.798,0.868,0.868,0.798,0.798,0.798,0.868,0.868,0.798,0.798,0.826,0.876
145,35,0.798,0.781,0.798,0.868,0.798,0.798,0.798,0.798,0.842,0.798,0.808,0.862
150,25,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.805,0.866
150,26,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.868,0.781,0.798,0.811,0.866
150,27,0.798,0.798,0.868,0.798,0.798,0.868,0.817,0.798,0.781,0.798,0.812,0.862
150,28,0.842,0.798,0.798,0.868,0.868,0.798,0.798,0.868,0.798,0.798,0.824,0.872
150,29,0.868,0.868,0.798,0.798,0.868,0.781,0.798,0.798,0.781,0.798,0.816,0.866
150,30,0.798,0.868,0.781,0.798,0.868,0.798,0.798,0.763,0.798,0.798,0.807,0.859
150,31,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.868,0.798,0.812,0.869
150,32,0.798,0.798,0.842,0.798,0.798,0.798,0.868,0.868,0.798,0.781,0.815,0.866
150,33,0.868,0.798,0.798,0.868,0.798,0.744,0.798,0.798,0.798,0.798,0.807,0.859
150,34,0.798,0.798,0.868,0.798,0.781,0.798,0.798,0.868,0.798,0.798,0.811,0.866
150,35,0.921,0.798,0.781,0.868,0.781,0.798,0.798,0.798,0.798,0.798,0.814,0.866
155,25,0.868,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.812,0.869
155,26,0.798,0.798,0.798,0.868,0.798,0.868,0.798,0.798,0.798,0.842,0.817,0.869
155,27,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
155,28,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.868,0.812,0.869
155,29,0.798,0.868,0.763,0.868,0.798,0.798,0.798,0.868,0.793,0.763,0.812,0.852
155,30,0.798,0.781,0.817,0.798,0.744,0.798,0.798,0.868,0.798,0.798,0.8,0.848
155,31,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.868,0.868,0.819,0.872
155,32,0.868,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.812,0.869
155,33,0.798,0.798,0.798,0.798,0.781,0.798,0.781,0.868,0.781,0.868,0.807,0.859
155,34,0.798,0.868,0.781,0.781,0.868,0.793,0.798,0.842,0.868,0.921,0.832,0.866
155,35,0.798,0.868,0.798,0.798,0.842,0.798,0.868,0.798,0.798,0.798,0.817,0.869
160,25,0.868,0.868,0.798,0.798,0.798,0.798,0.781,0.798,0.798,0.868,0.818,0.869
160,26,0.798,0.798,0.798,0.868,0.781,0.868,0.868,0.798,0.868,0.798,0.825,0.872
160,27,0.798,0.798,0.798,0.868,0.868,0.798,0.868,0.798,0.798,0.868,0.826,0.876
160,28,0.798,0.781,0.798,0.781,0.798,0.868,0.798,0.798,0.798,0.798,0.802,0.859
160,29,0.842,0.798,0.798,0.798,0.842,0.798,0.868,0.798,0.798,0.798,0.814,0.866
160,30,0.798,0.798,0.921,0.798,0.798,0.842,0.798,0.798,0.798,0.763,0.811,0.862
160,31,0.798,0.868,0.842,0.781,0.798,0.798,0.868,0.704,0.798,0.798,0.805,0.848
160,32,0.798,0.798,0.781,0.781,0.842,0.798,0.842,0.798,0.781,0.868,0.809,0.855
160,33,0.798,0.868,0.781,0.868,0.798,0.798,0.781,0.798,0.868,0.798,0.816,0.866
160,34,0.798,0.781,0.798,0.781,0.868,0.798,0.842,0.868,0.798,0.798,0.813,0.862
160,35,0.798,0.781,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.803,0.862
165,25,0.868,0.868,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.819,0.872
165,26,0.798,0.798,0.862,0.798,0.798,0.921,0.798,0.781,0.798,0.798,0.815,0.866
165,27,0.798,0.798,0.868,0.842,0.798,0.842,0.798,0.798,0.798,0.798,0.814,0.866
165,28,0.868,0.798,0.798,0.781,0.798,0.763,0.763,0.798,0.921,0.798,0.809,0.855
165,29,0.798,0.781,0.868,0.868,0.868,0.921,0.798,0.798,0.798,0.798,0.83,0.876
165,30,0.921,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.81,0.869
165,31,0.798,0.798,0.868,0.798,0.798,0.868,0.798,0.763,0.868,0.798,0.816,0.866
165,32,0.798,0.781,0.868,0.868,0.921,0.798,0.798,0.798,0.868,0.868,0.837,0.879
165,33,0.781,0.781,0.798,0.798,0.763,0.868,0.798,0.798,0.868,0.781,0.803,0.852
165,34,0.798,0.798,0.781,0.798,0.868,0.798,0.798,0.781,0.781,0.781,0.798,0.852
165,35,0.798,0.744,0.798,0.763,0.798,0.798,0.868,0.868,0.798,0.798,0.803,0.852
170,25,0.817,0.798,0.798,0.763,0.798,0.868,0.798,0.798,0.798,0.798,0.804,0.855
170,26,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.868,0.842,0.817,0.869
170,27,0.798,0.763,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.802,0.859
170,28,0.868,0.842,0.798,0.798,0.781,0.798,0.798,0.798,0.798,0.798,0.808,0.862
170,29,0.798,0.842,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.81,0.866
170,30,0.798,0.798,0.868,0.798,0.921,0.798,0.798,0.798,0.798,0.868,0.825,0.876
170,31,0.842,0.798,0.781,0.798,0.798,0.798,0.868,0.798,0.798,0.868,0.815,0.866
170,32,0.798,0.868,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.744,0.807,0.859
170,33,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.805,0.866
170,34,0.798,0.798,0.798,0.842,0.842,0.798,0.798,0.868,0.868,0.798,0.821,0.869
170,35,0.798,0.798,0.798,0.798,0.862,0.798,0.798,0.868,0.842,0.868,0.823,0.869
175,25,0.798,0.798,0.798,0.868,0.781,0.798,0.798,0.798,0.798,0.798,0.803,0.862
175,26,0.798,0.798,0.798,0.868,0.868,0.763,0.798,0.868,0.798,0.781,0.814,0.862
175,27,0.798,0.798,0.763,0.781,0.798,0.868,0.781,0.868,0.798,0.798,0.805,0.855
175,28,0.798,0.868,0.781,0.868,0.763,0.868,0.798,0.868,0.868,0.798,0.828,0.869
175,29,0.868,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.921,0.825,0.876
175,30,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.805,0.866
175,31,0.798,0.798,0.781,0.868,0.868,0.868,0.868,0.798,0.798,0.868,0.832,0.876
175,32,0.798,0.798,0.798,0.798,0.798,0.744,0.798,0.798,0.798,0.868,0.8,0.855
175,33,0.781,0.781,0.798,0.817,0.798,0.781,0.798,0.868,0.781,0.798,0.8,0.848
175,34,0.798,0.744,0.868,0.798,0.868,0.868,0.798,0.868,0.798,0.868,0.828,0.869
175,35,0.798,0.868,0.868,0.798,0.781,0.868,0.798,0.798,0.798,0.842,0.822,0.869
180,25,0.798,0.781,0.763,0.798,0.868,0.798,0.798,0.868,0.781,0.798,0.805,0.855
180,26,0.868,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.868,0.798,0.819,0.872
180,27,0.798,0.798,0.798,0.798,0.798,0.798,0.781,0.868,0.798,0.868,0.811,0.866
180,28,0.763,0.798,0.798,0.798,0.798,0.781,0.798,0.798,0.798,0.798,0.793,0.852
180,29,0.798,0.868,0.798,0.798,0.868,0.817,0.781,0.868,0.798,0.798,0.819,0.866
180,30,0.798,0.798,0.868,0.798,0.798,0.798,0.868,0.744,0.798,0.798,0.807,0.859
180,31,0.842,0.798,0.798,0.781,0.868,0.798,0.798,0.842,0.868,0.781,0.817,0.862
180,32,0.798,0.868,0.868,0.798,0.781,0.868,0.798,0.868,0.868,0.868,0.839,0.879
180,33,0.763,0.798,0.868,0.798,0.868,0.781,0.798,0.798,0.763,0.868,0.81,0.855
180,34,0.798,0.817,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.807,0.862
180,35,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.868,0.842,0.817,0.869
185,25,0.868,0.798,0.798,0.798,0.868,0.798,0.781,0.798,0.781,0.798,0.809,0.862
185,26,0.868,0.781,0.798,0.798,0.798,0.798,0.781,0.868,0.798,0.868,0.816,0.866
185,27,0.781,0.868,0.798,0.798,0.798,0.781,0.798,0.842,0.798,0.868,0.813,0.862
185,28,0.798,0.798,0.921,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.81,0.869
185,29,0.798,0.798,0.842,0.798,0.868,0.798,0.798,0.798,0.868,0.798,0.817,0.869
185,30,0.798,0.798,0.798,0.868,0.868,0.798,0.798,0.868,0.842,0.798,0.824,0.872
185,31,0.798,0.798,0.798,0.763,0.798,0.798,0.798,0.798,0.868,0.798,0.802,0.859
185,32,0.781,0.798,0.798,0.798,0.798,0.868,0.798,0.781,0.868,0.798,0.809,0.862
185,33,0.798,0.798,0.798,0.798,0.798,0.798,0.781,0.798,0.868,0.798,0.803,0.862
185,34,0.798,0.798,0.781,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.803,0.862
185,35,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.781,0.798,0.803,0.862
190,25,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
190,26,0.798,0.798,0.798,0.781,0.798,0.781,0.868,0.781,0.868,0.798,0.807,0.859
190,27,0.798,0.798,0.781,0.781,0.798,0.798,0.798,0.781,0.798,0.798,0.793,0.852
190,28,0.868,0.798,0.798,0.868,0.842,0.798,0.868,0.798,0.868,0.798,0.831,0.876
190,29,0.868,0.781,0.781,0.798,0.868,0.868,0.798,0.868,0.798,0.798,0.823,0.869
190,30,0.798,0.798,0.868,0.798,0.842,0.868,0.798,0.798,0.798,0.798,0.817,0.869
190,31,0.798,0.798,0.868,0.798,0.798,0.798,0.77,0.798,0.868,0.798,0.809,0.859
190,32,0.798,0.798,0.798,0.798,0.798,0.868,0.763,0.798,0.842,0.798,0.806,0.859
190,33,0.798,0.798,0.798,0.798,0.798,0.868,0.868,0.817,0.798,0.798,0.814,0.866
190,34,0.868,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.805,0.866
190,35,0.868,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.798,0.812,0.869
195,25,0.798,0.798,0.798,0.798,0.781,0.798,0.793,0.798,0.868,0.781,0.801,0.852
195,26,0.798,0.798,0.798,0.798,0.798,0.781,0.798,0.798,0.798,0.798,0.796,0.859
195,27,0.798,0.868,0.868,0.842,0.842,0.763,0.781,0.868,0.744,0.798,0.817,0.852
195,28,0.798,0.798,0.798,0.842,0.798,0.793,0.798,0.798,0.798,0.781,0.8,0.852
195,29,0.798,0.798,0.798,0.868,0.798,0.868,0.798,0.868,0.798,0.868,0.826,0.876
195,30,0.798,0.798,0.868,0.798,0.763,0.842,0.798,0.798,0.798,0.868,0.813,0.862
195,31,0.868,0.868,0.798,0.781,0.798,0.798,0.868,0.798,0.798,0.798,0.818,0.869
195,32,0.868,0.798,0.798,0.798,0.798,0.798,0.781,0.868,0.781,0.798,0.809,0.862
195,33,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.812,0.869
195,34,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.798,0.763,0.802,0.859
195,35,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.868,0.798,0.812,0.869
200,25,0.798,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.805,0.866
200,26,0.868,0.763,0.798,0.798,0.798,0.798,0.781,0.868,0.798,0.781,0.805,0.855
200,27,0.868,0.868,0.781,0.798,0.868,0.798,0.798,0.798,0.868,0.798,0.825,0.872
200,28,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.862
200,29,0.798,0.798,0.868,0.798,0.842,0.798,0.868,0.781,0.798,0.798,0.815,0.866
200,30,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.868,0.868,0.868,0.826,0.876
200,31,0.798,0.798,0.868,0.868,0.798,0.868,0.798,0.868,0.798,0.798,0.826,0.876
200,32,0.781,0.798,0.868,0.781,0.868,0.798,0.868,0.868,0.781,0.921,0.833,0.872
200,33,0.798,0.798,0.798,0.842,0.868,0.781,0.868,0.868,0.781,0.781,0.818,0.862
200,34,0.798,0.798,0.798,0.921,0.798,0.842,0.868,0.868,0.868,0.798,0.836,0.879
200,35,0.798,0.798,0.798,0.798,0.798,0.868,0.798,0.798,0.798,0.781,0.803,0.862
